id,nom,categorie,description,latitude,longitude,note,adresse,ville,place_id,photo_url
1,Medina d'Azemmour,monument,"Vieille ville fortifiee melant influences portugaises, arabes et andalouses, avec ruelles blanchies a la chaux et fresques murales colorees.",33.2891723,-8.341016,3.9,"229 Boulevard Mohammed V, Azemmour 24100",Azemmour,ChIJhQyj0KflqA0RJ8daF5WMcPk,
2,Remparts et Bab La Kasbah,monument,"Porte et remparts construits par les Portugais entre 1513 et 1541, menant a la medina historique et offrant une vue sur le fleuve.",33.2923751,-8.342524,4.3,Azemmour,Azemmour,ChIJUX49iOPlqA0RME2wGDKbM40,
3,Mosquee Okba Ibn Nafii,religieux,Ancienne mosquee de la kasbah nommee d'apres le premier gouverneur musulman de la region.,33.2891723,-8.341016,,"Medina, Azemmour",Azemmour,,
4,Shrine of Rabbi Abraham Moul Niss,religieux,"Site de pelerinage juif abritant les tombes de deux saints veneres, temoin du passe judeo-marocain de la ville.",33.292236,-8.3408635,3.9,Azemmour,Azemmour,ChIJTxrV9qflqA0RV9F2aDcxHg4,
6,Plage El Haouzia,plage,"Grande plage de sable fin bordee d'une foret, reputee pour le surf, la planche a voile et le kitesurf.",33.3058109,-8.3577919,4.0,"Plage El Haouzia, Azemmour",Azemmour,ChIJ-aNXgOPkqA0RrE4Ls0U5-yE,
7,Corniche d'Azemmour,nature,Promenade offrant une vue sur l'Oued Oum Er-Rbia et la medina fortifiee.,33.2878,-8.344,,Azemmour,Azemmour,,
8,Maison de l'Artisanat (Dar Sanii),artisanat,"Batiment aux arcades blanches abritant des artisans locaux, notamment la broderie traditionnelle d'Azemmour.",33.2906612,-8.3415563,4.3,"7MR5+798, Azemmour",Azemmour,ChIJj9ETkL7lqA0RSj4xl1Dl2kA,
9,Galerie d'art Abderrahmane Rahoule,art,Espace d'exposition d'art contemporain situe dans la medina.,33.289,-8.341,,"Medina, Azemmour",Azemmour,,
10,Cimetiere et rue Moulay-Bouchaib,monument,Site patrimonial et rue historique mentionnee dans les guides locaux.,33.2895,-8.3405,,"Rue Moulay-Bouchaib, Azemmour",Azemmour,,
11,Parc des Expositions Mohammed VI,evenementiel,"Centre d'exposition situe a quelques kilometres de la medina, accueille evenements et golfeurs.",33.2684101,-8.3829345,3.5,Azemmour,Azemmour,ChIJ1SrBIwDlqA0R_tq8vfHiLG0,
12,Mosquee Hassan II,religieux,"Une des plus grandes mosquees d'Afrique, batie en partie sur l'ocean, connue pour son minaret et sa salle de priere immense.",33.6084,-7.6325,4.7,Casablanca,Casablanca,,
13,Ancienne Medina de Casablanca,monument,"Quartier historique aux ruelles etroites pres du port, temoin du vieux Casablanca avant l'expansion coloniale.",33.6018,-7.6186,3.8,Casablanca,Casablanca,,
14,Quartier des Habous,artisanat,"Nouvelle medina construite dans les annees 1930, reputee pour ses boutiques d'artisanat, patisseries et librairies.",33.585,-7.6002,4.4,Casablanca,Casablanca,,
15,Corniche d'Ain Diab,plage,"Front de mer anime borde de plages privees, cafes et restaurants face a l'Atlantique.",33.5892,-7.687,4.1,Casablanca,Casablanca,,
16,Parc de la Ligue Arabe,nature,"Grand parc urbain plante de palmiers, prise pour se promener en plein centre-ville.",33.592,-7.627,4.0,Casablanca,Casablanca,,
17,Villa des Arts de Casablanca,art,Villa Art deco transformee en espace d'expositions d'art moderne et contemporain marocain.,33.5928,-7.6284,4.3,Casablanca,Casablanca,,
18,Kasbah des Oudayas,monument,"Citadelle fortifiee du 12e siecle surplombant l'embouchure du Bouregreg, avec jardins andalous et ruelles bleues et blanches.",34.0347,-6.8352,4.6,Rabat,Rabat,,
19,Tour Hassan,monument,"Minaret inacheve du 12e siecle, vestige d'une grande mosquee jamais terminee, symbole de la ville.",34.0244,-6.8226,4.5,Rabat,Rabat,,
20,Mausolee Mohammed V,religieux,"Mausolee royal a l'architecture raffinee abritant les tombeaux de rois marocains, garde par la cavalerie royale.",34.0241,-6.8228,4.7,Rabat,Rabat,,
21,Plage de Rabat,plage,"Longue plage urbaine a l'embouchure du fleuve, appreciee des surfeurs et des familles.",34.04,-6.84,3.9,Rabat,Rabat,,
22,Jardins d'Essais Botaniques,nature,Jardin botanique historique abritant des especes vegetales tropicales et locales.,34.01,-6.84,4.2,Rabat,Rabat,,
23,Souk Medina de Rabat,artisanat,"Marche traditionnel de la medina propose tapis, poterie et cuir dans une ambiance authentique.",34.027,-6.833,4.0,Rabat,Rabat,,
24,Musee Mohammed VI d'Art Moderne,art,Musee national dedie a l'art moderne et contemporain marocain et africain.,34.015,-6.835,4.4,Rabat,Rabat,,
