nom,categorie,description,ville
Nomad,restaurant,Restaurant moderne marocain installe sur les toits de la medina avec vue sur la place Jemaa el-Fna.,Marrakech
Al Fassia,restaurant,Restaurant tenu par une equipe de femmes cuisinieres specialiste de la cuisine traditionnelle fassie.,Marrakech
Dar Roumana,restaurant,Restaurant gastronomique installe dans une maison traditionnelle au coeur de la medina.,Fes
La Villa,restaurant,Restaurant reputee pour ses salades fraiches ses pizzas au feu de bois et ses desserts maison.,Fes
Rick's Cafe,restaurant,Restaurant elegant inspire d'un film culte proposant cuisine internationale et concerts de jazz en soiree.,Casablanca
Ocean Vagabond,restaurant,Restaurant de fruits de mer en bord de plage avec ambiance decontractee face a l'ocean.,Essaouira
Cafe Hafa,cafe,Celebre cafe perche sur la falaise servant du the a la menthe avec vue sur le detroit depuis 1921.,Tanger
Cafe de la Poste,cafe,Cafe historique de style art deco ouvert en 1936 prise pour sa terrasse et ses hauts plafonds.,Marrakech
Cafe Clock,cafe,Cafe culturel connu pour ses concerts ses ateliers et sa cuisine fusion marocaine.,Fes
Cafe Litteraire,cafe,Cafe installe dans un ancien riad avec expositions d'art et concerts en soiree.,Marrakech
Grand Cafe Central,cafe,Cafe historique du petit souk frequente autrefois par des ecrivains et artistes etrangers.,Tanger
Cafe Al Manara,cafe,Cafe traditionnel de quartier ideal pour un the a la menthe et une pause tranquille.,Tanger
La Mamounia,hotel,Hotel emblematique et luxueux en bordure de la medina avec jardins historiques centenaires.,Marrakech
Royal Mansour,hotel,Hotel de luxe mettant en valeur l'artisanat marocain avec riads prives et spa raffine.,Marrakech
Riad Fes,hotel,Riad de luxe avec spa et terrasse panoramique au coeur de la medina.,Fes
La Sultana,hotel,Riad de luxe avec piscine sur le toit et spa a quelques pas de la place principale.,Marrakech
Dar Shaan,hotel,Riad elegant aux colonnes andalouses et decoration contemporaine dans la medina.,Rabat
Riad Dar Lys,hotel,Etablissement reputee au coeur de la medina proposant chambres cosy et petit-dejeuner traditionnel.,Fes
